,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
11,prerank,MSigDB_Hallmark_2020__Xenobiotic Metabolism,0.42420204692970603,1.6439091716549097,0.0024813895781637717,0.010314094891452828,0.054,46/151,15.03%,MT2A;GSTO1;BLVRB;CBR1;TNFRSF1A;ID2;TMBIM6;DHRS1;GCH1;UPP1;JUP;HPRT1;IDH1;FAS;CES1;SLC6A6;HMOX1;DDAH2;ALAS1;NMT1;PGRMC1;KYNU;CYB5A;GSS;CNDP2;PGD;SLC35B1;PDK4;DHRS7;ADH5;FBP1;PSMB10;FAH;VNN1;ASL;COMT;EPHX1;ECH1;PDLIM5;GCNT2;PTGES3;SAR1B;SLC46A3;AQP9;CA2;PEMT
12,prerank,MSigDB_Hallmark_2020__Glycolysis,0.41794227526943106,1.623202231988157,0.0,0.011779485422478914,0.067,37/163,9.24%,GLRX;DDIT4;PSMC4;ALDOA;PKM;SAP30;LDHA;ENO1;NASP;AKR1A1;UGP2;SDHC;ISG20;IDH1;GALK1;NDUFV3;ANG;PGAM1;TALDO1;PGM2;SLC16A3;PPIA;GNPDA1;ECD;ERO1A;CYB5A;QSOX1;TXN;PFKP;CHST12;VCAN;MDH2;MDH1;TPI1;PGK1;COPB2;CXCR4
13,prerank,MSigDB_Hallmark_2020__Myc Targets V1,-0.40887774943330296,-1.5949732380168558,0.0,0.02130609760221854,0.096,52/197,11.28%,RPL34;RPL6;RPS6;RPL22;RPS5;RPL18;RPS2;RPLP0;EEF1B2;NAP1L1;NPM1;RPS3;RACK1;PABPC1;RPL14;TFDP1;EIF4G2;ETF1;SET;SLC25A3;HDGF;TRA2B;HNRNPA1;CANX;RPS10;PABPC4;SRM;STARD7;SNRPD2;PHB2;PCBP1;ABCE1;EIF3D;CCT7;HSPE1;APEX1;NCBP1;HNRNPA3;HNRNPD;GOT2;SRSF7;HNRNPC;SNRPD3;ORC2;TOMM70;MCM7;DUT;RRM1;MYC;NME1;CTPS1;NOLC1
14,prerank,MSigDB_Hallmark_2020__TNF-alpha Signaling via NF-kB,-0.41034310879107955,-1.5809501470249947,0.0,0.015827386790219486,0.106,59/190,14.57%,EIF1;FOS;SGK1;SLC2A3;EHD1;FOSB;CD83;DUSP1;ATP2B1;NAMPT;CD44;PTGS2;BCL3;BIRC2;VEGFA;ZFP36;ABCA1;TANK;KLF6;FOSL2;PFKFB3;IL7R;YRDC;DRAM1;PNRC1;OLR1;NR4A2;PTGER4;PTX3;SERPINB2;BCL6;ZBTB10;IER5;LITAF;BTG3;ICOSLG;BIRC3;JUN;EGR3;SOCS3;CEBPD;BTG2;PLAUR;JAG1;PPP1R15A;JUNB;G0S2;MYC;F2RL1;IER3;SMAD3;SOD2;TIPARP;CXCL2;GPR183;MAFF;IL15RA;EGR2;CCRL2
15,prerank,MSigDB_Hallmark_2020__Notch Signaling,0.5452204538584536,1.5647786976688447,0.0351288056206089,0.019457611548062335,0.118,7/27,7.84%,RBX1;SAP30;CUL1;SKP1;TCF7L2;HES1;NOTCH2
16,prerank,MSigDB_Hallmark_2020__Adipogenesis,0.3971652310631302,1.563463794754962,0.0,0.0183334848304747,0.12,64/182,15.75%,RETN;SQOR;ALDOA;ARL4A;UQCR10;GHITM;ACADM;SDHC;SUCLG1;IDH1;APLP2;SULT1A1;DHRS7B;YWHAG;TOB1;UQCRC1;REEP5;MGST3;DNAJC15;AGPAT3;ARAF;TALDO1;UCP2;DECR1;NMT1;PREB;UBC;GPD2;RAB34;STOM;NDUFA5;MDH2;PLIN2;COX7B;GPX4;CMPK1;QDPR;DHRS7;IDH3A;AK2;SDHB;CD151;CHUK;FAH;PDCD4;PRDX3;ADIPOR2;PHYH;ETFB;ECHS1;IFNGR1;ECH1;MTCH2;HIBCH;STAT5A;AIFM1;ITSN1;PGM1;NDUFS3;GBE1;PEMT;COX6A1;BCL2L13;MRPL15
17,prerank,MSigDB_Hallmark_2020__Hypoxia,0.38096733516799974,1.4866749561106132,0.002544529262086514,0.034222505016886104,0.234,37/162,10.86%,MT2A;PLAC8;ANXA2;GLRX;DDIT4;ALDOA;S100A4;SAP30;LDHA;ENO1;GAPDH;ADM;UGP2;HK1;TPST2;MT1E;ISG20;BNIP3L;GALK1;NAGK;JMJD6;SLC6A6;HMOX1;PGM2;PRDX5;WSB1;ERO1A;PFKP;PLIN2;TPI1;MYH9;PGK1;CXCR4;FBP1;AMPD3;NDRG1;TNFAIP3
18,prerank,MSigDB_Hallmark_2020__Pancreas Beta Cells,-0.6136388597262307,-1.481193030343892,0.05872193436960276,0.03611890831614191,0.295,6/15,18.41%,FOXO1;SPCS1;LMO2;SEC11A;SRPRB;ELP4
19,prerank,MSigDB_Hallmark_2020__Reactive Oxygen Species Pathway,0.46161418162714224,1.4704079963128884,0.037783375314861464,0.036733395330625036,0.26,14/49,10.04%,GLRX;FTL;SELENOS;PRDX1;MGST1;ATOX1;TXNRD1;PRDX6;TXN;PFKP;EGLN2;GPX4;LAMTOR5;PRDX4
20,prerank,MSigDB_Hallmark_2020__Apical Junction,0.3751679565271967,1.4392552335339637,0.012755102040816327,0.045075677963417764,0.324,26/146,9.76%,FYB1;MYL12B;NEXN;RAC2;ICAM2;YWHAH;JUP;PTPRC;ACTB;CTNNA1;CAP1;CD99;ZYX;SKAP2;ARPC2;SYK;TIAL1;MAPK14;VCL;ACTN4;VCAN;RRAS;STX4;MYH9;CNN2;NF1
